,A_Price,B_Price,A_PI,B_PI
0,1.7366249777731166,1.6989537895241877,0.29331889103226705,0.3235814478781955
1000,1.962652107266691,1.8119673542709749,0.260998159284735,0.40222853205321657
2000,1.5105978482795426,1.7366249777731166,0.33024926590988624,0.19291232766261432
3000,1.8119673542709749,1.5482690365284717,0.18697109404607162,0.3625104394541331
4000,1.5105978482795426,1.7366249777731166,0.33024926590988624,0.19291232766261432
5000,1.962652107266691,1.8119673542709749,0.260998159284735,0.40222853205321657
6000,1.7742961660220458,1.887309730768833,0.37923231345035124,0.27653416873364794
7000,1.8496385425199038,1.9249809190177618,0.3713742332101454,0.2991074451952921
8000,1.962652107266691,1.8119673542709749,0.260998159284735,0.40222853205321657
9000,1.6236114130263297,1.5105978482795426,0.22324206620324763,0.28725369851180493
10000,1.887309730768833,1.8496385425199038,0.3169220102508845,0.352819775867538
11000,1.887309730768833,1.4729266600306137,0.12890402245423008,0.36044760688973254
12000,1.5859402247774006,1.6612826012752586,0.30349222106194984,0.2533951122405889
13000,1.7742961660220458,1.4729266600306137,0.1632234164310471,0.3328140145464146
14000,1.5482690365284717,1.7742961660220458,0.3494249288339128,0.19981032859035813
15000,1.4352554717816846,1.7742961660220458,0.31954626502627576,0.14646120550128428
16000,1.962652107266691,1.9249809190177618,0.31835187553104466,0.3556414544324191
17000,1.887309730768833,1.4352554717816846,0.1146883169746118,0.34315225380130265
18000,1.6236114130263297,1.6989537895241877,0.31789358917133004,0.2635925098333703
19000,1.6612826012752586,1.6989537895241877,0.3122056005008669,0.2838314397462228
20000,1.6989537895241877,1.8119673542709749,0.36098210966674266,0.26684011132012
21000,1.5482690365284717,1.4352554717816846,0.20041303063995036,0.2500351955978522
22000,1.9249809190177618,1.8119673542709749,0.27925647648089374,0.3852420796964866
23000,1.4352554717816846,1.5859402247774006,0.2635088947643421,0.19415032698666523
24000,1.8119673542709749,1.6236114130263297,0.2258211261075481,0.3684239367153449
25000,1.5859402247774006,1.6236114130263297,0.28568873143519924,0.2615244487749342
26000,1.7742961660220458,1.6236114130263297,0.23953158407856437,0.3524812009601933
27000,1.5482690365284717,1.6989537895241877,0.3203499986860943,0.22351838129363097
28000,1.7366249777731166,1.5482690365284717,0.21210197164739214,0.33535112538960515
29000,1.7742961660220458,1.7742961660220458,0.32189556453873175,0.32189556453873175
30000,1.6236114130263297,1.5859402247774006,0.2615244487749342,0.28568873143519924
31000,1.4352554717816846,1.7742961660220458,0.31954626502627576,0.14646120550128428
32000,1.4352554717816846,1.8119673542709749,0.32823095589710233,0.13569326710401988
33000,1.5859402247774006,1.6989537895241877,0.3206809444410617,0.24341292452193403
34000,1.5482690365284717,1.887309730768833,0.3856145541937367,0.16079070185606417
35000,1.4729266600306137,1.4352554717816846,0.20705389779099725,0.22155186479368902
36000,1.7742961660220458,1.7366249777731166,0.30151053860781546,0.3334904374461103
37000,1.8119673542709749,1.8496385425199038,0.34826262694294513,0.31344471504329413
38000,1.962652107266691,1.5105978482795426,0.12092412860855933,0.3912201918862228
39000,1.4729266600306137,1.6236114130263297,0.2834008023308069,0.20452909956746568
40000,1.8496385425199038,1.8119673542709749,0.31344471504329413,0.34826262694294513
41000,1.6236114130263297,1.962652107266691,0.42148955752883294,0.16763632049594526
42000,1.7742961660220458,1.5859402247774006,0.21936679503381676,0.35263456425659057
43000,1.5105978482795426,1.4729266600306137,0.2216304105612898,0.23866334562394587
44000,1.7366249777731166,1.7366249777731166,0.3136289220568688,0.3136289220568688
45000,1.5859402247774006,1.4352554717816846,0.19415032698666523,0.2635088947643421
46000,1.8119673542709749,1.8496385425199038,0.34826262694294513,0.31344471504329413
47000,1.962652107266691,1.4352554717816846,0.09525490384660858,0.3550945533685962
48000,1.4729266600306137,1.7366249777731166,0.3217824134888718,0.17455168745436303
49000,1.8119673542709749,1.6989537895241877,0.26684011132012,0.36098210966674266
50000,1.5859402247774006,1.8496385425199038,0.3806982477790702,0.19225200276833765
51000,1.5482690365284717,1.7742961660220458,0.3494249288339128,0.19981032859035813
52000,1.7366249777731166,1.6989537895241877,0.29331889103226705,0.3235814478781955
53000,1.887309730768833,1.9249809190177618,0.3553130513470682,0.31858632722648816
54000,1.7366249777731166,1.9249809190177618,0.4048575368456727,0.23932098290732784
55000,1.5482690365284717,1.5482690365284717,0.25334053771580883,0.25334053771580883
56000,1.5859402247774006,1.5105978482795426,0.23045248574076915,0.2714502071258467
57000,1.5859402247774006,1.887309730768833,0.3931418250269303,0.17833587890473782
58000,1.5482690365284717,1.9249809190177618,0.395643352359845,0.1479201572720669
59000,1.6236114130263297,1.5859402247774006,0.2615244487749342,0.28568873143519924
60000,1.4729266600306137,1.5105978482795426,0.23866334562394587,0.2216304105612898
61000,1.9249809190177618,1.5859402247774006,0.16452783324488374,0.4045143458779721
62000,1.4352554717816846,1.7742961660220458,0.31954626502627576,0.14646120550128428
63000,1.4352554717816846,1.9249809190177618,0.3494707554842805,0.10472711401675519
64000,1.4729266600306137,1.6612826012752586,0.2970277112013236,0.1955160814213221
65000,1.887309730768833,1.6989537895241877,0.2358985700023447,0.3947356141902428
66000,1.887309730768833,1.5482690365284717,0.16079070185606417,0.3856145541937367
67000,1.6612826012752586,1.5482690365284717,0.2337085560458443,0.3045130476600539
68000,1.7742961660220458,1.5859402247774006,0.21936679503381676,0.35263456425659057
69000,1.887309730768833,1.962652107266691,0.3732980065906081,0.2996171570871174
70000,1.8119673542709749,1.6612826012752586,0.24616427311226646,0.36630241075459935
71000,1.5859402247774006,1.5105978482795426,0.23045248574076915,0.2714502071258467
72000,1.6612826012752586,1.5859402247774006,0.2533951122405889,0.30349222106194984
73000,1.6989537895241877,1.7366249777731166,0.3235814478781955,0.29331889103226705
74000,1.7742961660220458,1.5859402247774006,0.21936679503381676,0.35263456425659057
75000,1.6612826012752586,1.6236114130263297,0.27318829671547956,0.2995232956654548
76000,1.5859402247774006,1.5105978482795426,0.23045248574076915,0.2714502071258467
77000,1.6236114130263297,1.887309730768833,0.3971645829174861,0.19680711983669102
78000,1.5859402247774006,1.8119673542709749,0.36718611795801503,0.20602606528831713
79000,1.4729266600306137,1.887309730768833,0.36044760688973254,0.12890402245423008
80000,1.6612826012752586,1.5105978482795426,0.2143473996408322,0.3023962005255867
81000,1.887309730768833,1.5105978482795426,0.14428678108523968,0.37466734960287684
82000,1.9249809190177618,1.7366249777731166,0.23932098290732784,0.4048575368456727
83000,1.5105978482795426,1.5482690365284717,0.2551312419795833,0.23563338706551187
84000,1.962652107266691,1.6612826012752586,0.18514013365068846,0.42457142091432976
85000,1.4729266600306137,1.6612826012752586,0.2970277112013236,0.1955160814213221
86000,1.9249809190177618,1.6236114130263297,0.18211454203064323,0.40988154140277383
87000,1.6989537895241877,1.5482690365284717,0.22351838129363097,0.3203499986860943
88000,1.5482690365284717,1.5859402247774006,0.2708468248857,0.2489669996340264
89000,1.4729266600306137,1.4729266600306137,0.22292666003061892,0.22292666003061892
90000,1.5482690365284717,1.4352554717816846,0.20041303063995036,0.2500351955978522
91000,1.5105978482795426,1.6236114130263297,0.28725369851180493,0.22324206620324763
